,bitstring,ideal_prob,depolarize_single_0.0016_prob
67,00000001000011,2.349113211028325e-06,3.2e-05
68,00000001000100,4.75109045350681e-06,5e-05
69,00000001000101,8.051027230431015e-05,5.8e-05
70,00000001000110,4.146012066314145e-05,5.4e-05
71,00000001000111,4.545307263201033e-05,5.2e-05
72,00000001001000,4.422080203781302e-06,5.6e-05
73,00000001001001,0.00010148392722026214,7.2e-05
74,00000001001010,3.5708638036651166e-05,7.8e-05
75,00000001001011,7.421280810987656e-05,6.4e-05
76,00000001001100,5.926750037824117e-06,3e-05
77,00000001001101,0.0001988640943064046,0.000116
78,00000001001110,6.874312356513369e-05,7.8e-05
79,00000001001111,8.212624948357985e-06,5.2e-05
80,00000001010000,6.909054702381882e-06,4e-05
81,00000001010001,4.0398931504294335e-05,4.8e-05
82,00000001010010,5.8783822495521746e-05,6e-05
83,00000001010011,0.00015826796387073737,8.2e-05
84,00000001010100,2.4313318508009724e-05,3.8e-05
85,00000001010101,1.8617057638132434e-05,3.2e-05
86,00000001010110,4.4111153946036835e-06,4.2e-05
87,00000001010111,8.794520687964438e-05,6.8e-05
88,00000001011000,0.00010338896776227706,6.8e-05
89,00000001011001,6.430463770491464e-06,3.2e-05
90,00000001011010,2.2990819000428675e-05,5.2e-05
91,00000001011011,2.214591674412244e-05,3.6e-05
92,00000001011100,0.0002599252920270389,0.000168
93,00000001011101,1.0092239623493912e-05,3.8e-05
94,00000001011110,1.0032462087635332e-05,3.4e-05
95,00000001011111,0.00011095831681309529,0.000102
96,00000001100000,7.228415079802916e-05,6.8e-05
97,00000001100001,0.00037234615944554684,0.00015
98,00000001100010,1.7375043492802715e-05,4.4e-05
99,00000001100011,6.543607644898568e-05,7.2e-05
100,00000001100100,2.0413938573055246e-05,4.8e-05
101,00000001100101,6.82902365903016e-06,5.6e-05
102,00000001100110,6.471574233026537e-05,6.2e-05
103,00000001100111,7.501010548358956e-05,7.4e-05
104,00000001101000,2.2817737368247796e-06,4.6e-05
105,00000001101001,5.85016477413885e-05,7e-05
106,00000001101010,2.4276005236420055e-05,5e-05
107,00000001101011,1.6519761195477664e-05,4.6e-05
108,00000001101100,0.00014314879229726692,9.2e-05
109,00000001101101,6.449022534709927e-05,0.0001
110,00000001101110,0.00018836157713329266,0.000106
111,00000001101111,2.4598953678896735e-05,4e-05
112,00000001110000,9.604321695096704e-05,7.6e-05
113,00000001110001,5.037298932893128e-06,3.6e-05
114,00000001110010,6.54851278949653e-05,5.2e-05
