,bitstring,ideal_real_amp,ideal_imag_amp,ideal_prob,google_noisy_prob,depolarize_single_0.0016_prob
3794,111011010010,0.0025281729109680297,-0.007419810395257884,6.144524456932952e-05,0.000164,0.000186
3795,111011010011,0.024306255730184006,0.001410249990793735,0.0005927828726576365,0.000366,0.000362
3796,111011010100,-0.0027506887698855935,0.0003387129099776268,7.681015144160231e-06,0.000148,0.00013
3797,111011010101,0.013106605431453807,0.003178261836678137,0.00018188445423829912,0.000132,0.00021
3798,111011010110,-0.0056624282536185296,-0.010311813616134343,0.000138396593781271,0.000156,0.000206
3799,111011010111,-0.0041129624762686525,-0.004058159673573106,3.338512026740894e-05,0.000144,0.000172
3800,111011011000,0.0033953270546948546,0.00541645649643763,4.086624678614424e-05,0.000176,0.000152
3801,111011011001,-0.01442146923500505,-0.001582817229418462,0.00021048408527794105,0.000226,0.000244
3802,111011011010,-0.0011797121657272282,-0.008777727852347619,7.844022704384396e-05,0.000146,0.000194
3803,111011011011,-0.01833795607606308,-0.0013278451376065505,0.00033804380575708416,0.00029,0.000258
3804,111011011100,-0.012217376517157121,0.013239954574343855,0.00032456068609267106,0.000272,0.000288
3805,111011011101,0.0013836832042961019,-0.002184325367266129,6.685856519933437e-06,0.000134,0.000134
3806,111011011110,-0.00447100050794721,-0.002727140596530531,2.7427141375309107e-05,0.000202,0.000154
