,bitstring,ideal_prob,noisy_prob
0,000001011000,0.001272064606592,0.00112
0,000001011001,0.000152347026297,0.000262
0,000001011010,0.001238616722281,0.000916
0,000001011011,0.000393926660798,0.000356
0,000001011100,0.000440852129239,0.000322
0,000001011101,0.000245585568993,0.000262
0,000001011110,0.000294255197622,0.000436
0,000001011111,0.000480207267901,0.000312
0,000001100000,0.000263353778201,0.000492
0,000001100001,0.000265623246587,0.00029
0,000001100010,0.000282915073133,0.000418
0,000001100011,0.000343188206551,0.000334
0,000001100100,0.000518951350062,0.000366
0,000001100101,0.000594499547948,0.000476
0,000001100110,0.000580579522469,0.000656
0,000001100111,0.000180927400875,0.000206
0,000001101000,0.001006800108191,0.001062
0,000001101001,2.0826801939e-05,0.000282
0,000001101010,0.000216878813611,0.000382
0,000001101011,0.000317779469783,0.000378
0,000001101100,0.000347133546519,0.000252
0,000001101101,5.5725218498e-05,0.000154
0,000001101110,0.000191798812858,0.000336
0,000001101111,0.000250040094807,0.00023
0,000001110000,0.001103462995777,0.000828
0,000001110001,0.00090233795893,0.00061
0,000001110010,0.00146368115112,0.00089
0,000001110011,0.000555249335759,0.000388
0,000001110100,0.00016970266951,0.000202
0,000001110101,0.000230371438039,0.000326
0,000001110110,2.684529046e-05,0.000208
0,000001110111,5.8857027246e-05,0.00011
0,000001111000,0.001508805914495,0.000974
0,000001111001,0.000271919403255,0.000238
0,000001111010,0.000857065312783,0.000684
0,000001111011,0.000313405953989,0.000264
0,000001111100,8.9654765017e-05,0.00023
0,000001111101,0.000675016354718,0.0004
0,000001111110,0.002576951705764,0.001306
0,000001111111,2.1489310565e-05,0.000162
0,000010000000,0.000727241338024,0.000588
0,000010000001,0.000140028330652,0.000164
0,000010000010,0.000280086712305,0.000284
0,000010000011,0.000196982563224,0.000214
0,000010000100,1.439713668e-05,0.000122
0,000010000101,0.00014940018929,0.000208
0,000010000110,1.67348215e-05,0.000298
0,000010000111,3.8508966838e-05,7.6e-05
0,000010001000,0.000493408737793,0.000544
0,000010001001,0.000176624733993,0.00024
0,000010001010,0.000443155595899,0.000438
0,000010001011,3.7187803325e-05,0.000118
0,000010001100,0.000143608753762,0.00018
0,000010001101,0.000268507802618,0.00026
0,000010001110,9.734412652e-05,0.000194
0,000010001111,0.000240544209307,0.000226
0,000010010000,0.000410685363186,0.000382
0,000010010001,0.000272667548404,0.000238
0,000010010010,0.000464812743416,0.000428
0,000010010011,0.000183676735706,0.000194
0,000010010100,0.000181075524311,0.000174
0,000010010101,0.000142998851592,0.0002
0,000010010110,9.2896400363e-05,0.00022
0,000010010111,4.5359653073e-05,8.6e-05
0,000010011000,0.000632539721452,0.000496
0,000010011001,0.000101889044025,0.0001
0,000010011010,0.000387319358915,0.000384
0,000010011011,0.000147578500618,0.000136
0,000010011100,5.0568651266e-05,0.000154
0,000010011101,0.000220590321469,0.000154
0,000010011110,0.000785580847189,0.000474
0,000010011111,8.540000231e-06,9.4e-05
0,000010100000,0.000178412880915,0.00034
0,000010100001,5.489432037e-06,9.4e-05
0,000010100010,3.1147898643e-05,0.000114
0,000010100011,2.081485196e-06,0.0001
0,000010100100,5.9001652744e-05,0.000118
0,000010100101,7.317031728e-05,0.000146
0,000010100110,0.000357750557445,0.00031
0,000010100111,5.1077772934e-05,9e-05
0,000010101000,0.00116672111592,0.001022
0,000010101001,0.000373676890623,0.0003
0,000010101010,0.000544859101977,0.000442
0,000010101011,0.000252367002488,0.000202
0,000010101100,2.080918073e-06,8.8e-05
0,000010101101,9.8036817899e-05,0.000112
0,000010101110,0.000230306397839,0.000308
0,000010101111,9.2344780361e-05,7e-05
0,000010110000,0.000445691258345,0.00039
0,000010110001,0.000284495298501,0.000216
0,000010110010,0.000265620444823,0.000304
0,000010110011,0.000327416400638,0.00025
0,000010110100,1.5398862852e-05,6.8e-05
0,000010110101,8.2535177117e-05,0.000148
0,000010110110,9.3625107358e-05,0.000154
0,000010110111,1.5803886751e-05,7.8e-05
0,000010111000,0.000225180380541,0.00043
0,000010111001,5.1536790077e-05,7.8e-05
0,000010111010,4.3342813005e-05,0.000206
0,000010111011,1.4305075204e-05,8e-05
0,000010111100,0.000163074878781,0.000168
