,bitstring,ideal_real_amp,ideal_imag_amp,ideal_prob,google_noisy_prob,depolarize_single_0.0016_prob
6519,01100101110111,0.0026214637577190235,-0.015077103579033217,0.00023419112456593056,0.000142,9.8e-05
6520,01100101111000,0.013990912932092401,-0.006551547035536178,0.00023866841323223325,9.4e-05,0.000128
6521,01100101111001,-0.006203759812446303,-0.00020625715495447422,3.852917782449369e-05,9e-05,5.6e-05
6522,01100101111010,-0.006400818135446999,-0.006179587902861952,7.915777945226498e-05,7.2e-05,7.8e-05
6523,01100101111011,-0.003331771052574272,0.004203859529431358,2.877313328996271e-05,2.8e-05,4.6e-05
6524,01100101111100,0.000684055963169985,-0.0036088947273040526,1.3492053713511407e-05,5.6e-05,4.6e-05
6525,01100101111101,0.0033587432897834437,0.004712373185189261,3.348761752315609e-05,4.2e-05,5.6e-05
6526,01100101111110,-0.0073811031465158515,-0.00013414610670335093,5.449867883744987e-05,5.4e-05,5.2e-05
6527,01100101111111,-0.013670411205677878,-0.006903337077145159,0.00023453620533301037,8.4e-05,0.000116
6528,01100110000000,-0.004125763256501608,-0.0023703804302812586,2.2640625832959122e-05,3.8e-05,4.8e-05
6529,01100110000001,0.0021355880662726643,0.003093739282325976,1.4131959135813062e-05,3.2e-05,5.4e-05
6530,01100110000010,-0.0019132975776842659,-0.004405830155580562,2.3072046980595516e-05,5.6e-05,6.4e-05
6531,01100110000011,0.001345095518197371,-0.0009775963705660547,2.7649766168185765e-06,3.4e-05,4.2e-05
6532,01100110000100,-0.006588369512998333,0.004558763762051465,6.418893987799953e-05,2.8e-05,6e-05
6533,01100110000101,-0.0029430530940626016,-0.008336836002897521,7.816439605367977e-05,8.2e-05,5.6e-05
6534,01100110000110,0.0034007511734450266,0.006300944334970802,5.126700805608837e-05,6e-05,6.8e-05
6535,01100110000111,-0.001029313325259715,0.0027612253621628426,8.683851422208534e-06,2.6e-05,3.2e-05
6536,01100110001000,-0.0047419890970976635,-0.005267093156935238,5.0228730920827126e-05,5e-05,6.2e-05
6537,01100110001001,-0.0034468924807036973,0.004582719662298814,3.288238727675184e-05,8.4e-05,5.8e-05
6538,01100110001010,-0.00482148646444884,-0.006788812124260888,6.933470178537501e-05,5e-05,6.6e-05
6539,01100110001011,-0.0037287641482645975,-0.011375268343787243,0.00014330041196655157,9.2e-05,8.4e-05
6540,01100110001100,-0.004264401808836759,0.0036514181085227897,3.151797699045837e-05,4.2e-05,3.4e-05
6541,01100110001101,0.0036532664069686112,-0.007615426331788057,7.134107365517624e-05,4.6e-05,4.8e-05
6542,01100110001110,0.004870941784606622,0.0007130340740568214,2.4234491459792813e-05,4.8e-05,3.8e-05
6543,01100110001111,6.325556676702948e-05,0.006767952368383837,4.5809180527439414e-05,3.8e-05,4e-05
6544,01100110010000,0.007448226267975125,-0.005990116737520604,9.135757306807914e-05,3.6e-05,7.4e-05
6545,01100110010001,0.004263111253183393,0.0013019371676860833,1.9869157945621336e-05,2.4e-05,2.6e-05
6546,01100110010010,-0.0005299109181161085,0.007703426528123474,5.962358585533514e-05,6.4e-05,5.6e-05
6547,01100110010011,-0.0007288435881356381,-0.0022616017418965635,5.646055414916002e-06,2.6e-05,4.4e-05
6548,01100110010100,0.0005064201051949266,0.00947399033605339,9.001295421057867e-05,5.2e-05,5.4e-05
6549,01100110010101,0.004674107496312375,-0.0011212120219466315,2.3104397285241195e-05,5e-05,5.6e-05
6550,01100110010110,0.000779269547050009,-0.001309273114066797,2.321457114177694e-06,5e-05,4.4e-05
6551,01100110010111,0.007386335895143316,-0.00521966295853271,8.180283935656105e-05,8.2e-05,6.6e-05
6552,01100110011000,-0.0024391888788917017,0.001117261481845762,7.197915605725145e-06,3.2e-05,4.2e-05
6553,01100110011001,0.004723686256355885,0.002853341431919734,3.0454769175595233e-05,3.8e-05,4.8e-05
6554,01100110011010,0.006938830547138919,0.005302685516094434,7.626584304450588e-05,5.6e-05,6.6e-05
6555,01100110011011,0.002696761512996549,0.0014834233200928196,9.47306740457464e-06,2.6e-05,3.2e-05
6556,01100110011100,-0.0029675329879447257,0.0036900388164994116,2.2422638501812528e-05,5.2e-05,5.2e-05
6557,01100110011101,-0.0028324528317584283,-0.0005693790925203478,8.346981595135635e-06,3e-05,5.8e-05
6558,01100110011110,-0.00037921471894145466,0.004911920331679181,2.4270765147825158e-05,4.2e-05,4.4e-05
6559,01100110011111,0.004130426777608817,-0.006108919875746292,5.4379327413476054e-05,2.8e-05,3.6e-05
6560,01100110100000,-0.0016934586070142732,0.0046853933540823315,2.4820712936149603e-05,5.4e-05,5.2e-05
6561,01100110100001,0.005283318491380904,0.009710346755312845,0.0001222042883897821,0.000118,7e-05
6562,01100110100010,0.007099401032879721,0.00021681562979795899,5.0448504042978324e-05,8.2e-05,6.4e-05
6563,01100110100011,-0.004577254778407288,-0.004075395232928253,3.756010761102668e-05,3.6e-05,5.6e-05
6564,01100110100100,-0.00030145633298871545,0.004425108048004921,1.9672457157216926e-05,2.8e-05,4e-05
6565,01100110100101,-0.007549374235237618,0.005538527218578889,8.766833509460877e-05,6.8e-05,5.2e-05
6566,01100110100110,-0.005150388279679339,-0.0012022739700854796,2.7971962130603406e-05,3.4e-05,5.2e-05
6567,01100110100111,0.0018360263871660806,0.0023181560567107577,8.7448403976349e-06,3.8e-05,4.6e-05
6568,01100110101000,0.012664157401620482,0.00525786419425042,0.00018802601857819946,6.8e-05,0.000114
6569,01100110101001,0.0017155996279506489,0.003548729882933528,1.5536765865449816e-05,6e-05,4.8e-05
6570,01100110101010,-0.005101826127691713,-0.000820884999704341,2.670248201993742e-05,3.2e-05,7.2e-05
6571,01100110101011,0.002146540006216461,-0.004639233752266289,2.613012380645451e-05,3.4e-05,6e-05
6572,01100110101100,0.001559027073123984,0.006099413495689779,3.963341040613614e-05,6.6e-05,9e-05
6573,01100110101101,0.008224562697265781,-0.005506376822238996,9.796361726974661e-05,4.8e-05,6e-05
6574,01100110101110,-0.006586647851220175,0.003564564724951679,5.609005159435319e-05,2.6e-05,4.4e-05
6575,01100110101111,0.0023318337051351384,-0.000410045320166618,5.605585592994812e-06,5e-05,4.8e-05
6576,01100110110000,0.004390870836030417,-0.011802372844310263,0.00015857575145481476,7e-05,8.2e-05
